customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Domain,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CustomerID,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
9763-GRSKD,Male,0.0,Yes,Yes,13.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7469-LKBCI,Male,0.0,No,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8091-TTVAX,Male,0.0,Yes,No,58.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0280-XJGEX,Male,0.0,No,No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129-JLPIS,Male,0.0,No,No,25.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3655-SNQYZ,Female,0.0,Yes,Yes,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8191-XWSZG,Female,0.0,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9959-WOFKT,Male,0.0,No,Yes,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4190-MFLUW,Female,0.0,Yes,Yes,10.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4183-MYFRB,Female,0.0,No,No,21.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8779-QRDMV,Male,1.0,No,No,1.0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680-VDCWW,Male,0.0,Yes,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066-JKSGK,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3638-WEABW,Female,0.0,Yes,No,58.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6322-HRPFA,Male,0.0,Yes,Yes,49.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6865-JZNKO,Female,0.0,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6467-CHFZW,Male,0.0,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8665-UTDHZ,Male,0.0,Yes,Yes,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5248-YGIJN,Male,0.0,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8773-HHUOZ,Female,0.0,No,Yes,17.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3841-NFECX,Female,1.0,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4929-XIHVW,Male,1.0,Yes,No,2.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6827-IEAUQ,Female,0.0,Yes,Yes,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7310-EGVHZ,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413-BMNZE,Male,1.0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6234-RAAPL,Female,0.0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6047-YHPVI,Male,0.0,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6572-ADKRS,Female,0.0,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5380-WJKOV,Male,0.0,No,No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8168-UQWWF,Female,0.0,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8865-TNMNX,Male,0.0,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9489-DEDVP,Female,0.0,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9867-JCZSP,Female,0.0,Yes,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671-VJLCL,Female,0.0,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080-IIARD,Female,0.0,Yes,No,13.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714-NTNFO,Female,0.0,No,No,49.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5948-UJZLF,Male,0.0,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7760-OYPDY,Female,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7639-LIAYI,Male,0.0,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2954-PIBKO,Female,0.0,Yes,Yes,69.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8012-SOUDQ,Female,1.0,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9420-LOJKX,Female,0.0,No,No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6575-SUVOI,Female,1.0,Yes,No,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495-OOKFY,Female,1.0,Yes,No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4667-QONEA,Female,1.0,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658-BYGOY,Male,1.0,No,No,18.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8769-KKTPH,Female,0.0,Yes,Yes,63.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5067-XJQFU,Male,1.0,Yes,Yes,66.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3957-SQXML,Female,0.0,Yes,Yes,34.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5954-BDFSG,Female,0.0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0434-CSFON,Female,0.0,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215-FIGMP,Male,0.0,No,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0526-SXDJP,Male,0.0,Yes,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0557-ASKVU,Female,0.0,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5698-BQJOH,Female,0.0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5122-CYFXA,Female,0.0,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8627-ZYGSZ,Male,0.0,Yes,No,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410-YOQBQ,Female,0.0,No,No,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170-NMYVV,Female,0.0,Yes,Yes,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7410-OIEDU,Male,0.0,No,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273-QCKXA,Male,0.0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0731-EBJQB,Female,0.0,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891-QRQSA,Male,1.0,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8028-PNXHQ,Male,0.0,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5630-AHZIL,Female,0.0,No,Yes,3.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673-CXQEU,Female,1.0,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6416-JNVRK,Female,0.0,No,No,46.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5590-ZSKRV,Female,0.0,Yes,Yes,8.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0191-ZHSKZ,Male,1.0,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887-PBQAO,Female,0.0,Yes,Yes,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5919-TMRGD,Female,0.0,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108-UXRQN,Female,0.0,Yes,Yes,11.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9191-MYQKX,Female,0.0,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919-YLNNG,Female,0.0,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0318-ZOPWS,Female,0.0,Yes,No,49.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4445-ZJNMU,Male,0.0,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4808-YNLEU,Female,0.0,Yes,No,35.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862-QRWPE,Female,0.0,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796-NNUFI,Female,0.0,Yes,Yes,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016-KSVCP,Male,0.0,Yes,No,29.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4767-HZZHQ,Male,0.0,Yes,Yes,30.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424-WVHPL,Male,1.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7233-PAHHL,Male,0.0,Yes,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6067-NGCEU,Female,0.0,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9848-JQJTX,Male,0.0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8637-XJIVR,Female,0.0,No,No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9803-FTJCG,Male,0.0,Yes,Yes,71.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278-YXOOG,Male,0.0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212-KXOCR,Male,0.0,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4598-XLKNJ,Female,1.0,Yes,No,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6380-ARCEH,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679-XASPY,Female,0.0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7123-WQUHX,Male,0.0,No,No,38.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5386-THSLQ,Female,1.0,Yes,No,66.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3192-NQECA,Male,0.0,Yes,No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6180-YBIQI,Male,0.0,No,No,5.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6728-DKUCO,Female,0.0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9750-BOOHV,Female,0.0,No,No,32.0,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8597-CWYHH,Male,0.0,No,No,43.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848-YXSMW,Male,0.0,Yes,Yes,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
